,rank,name,original_price,sale_price
97,98,The큰나무 루피니빈 2kg(1kgx2팩) 루피니빈 콩 루피니빈콩,"23,300","19,810"
98,99,알큰 까먹는 껍질 볶음캐슈넛 500g x 2개,"23,900","17,930"
99,100,국산 현미 10kg (5kg+5kg) 2024년산 햅쌀,"24,500","20,830"
100,101,(신선집중) 10%+10% / 서래푸드 구운아몬드 1kg 캘리포니아 24년산,"16,600","11,920"
101,102,수입 갈색 렌틸콩 4kg (2kgX2봉) 렌즈콩 / 8kg 구매시 사은품 증정,N/A,"10,400"
102,103,(신선집중) 10% / 국산 혼합곡 17곡 1kgx3봉 2024년산 햇곡 발아3종 혼합잡곡,"12,200","9,810"
103,104,96시간 숙성한 찰진 콩없는11곡 3.5kg,"18,800","15,980"
104,105,소담상회 국산 찹쌀 4kg / 쿠폰가능,"18,500","15,730"
105,106,코스트코 CJ 유기농 맛밤 42gx17봉 맛밤 단밤 약밤,"18,980","16,140"
106,107,산과들에 당일볶음아몬드500gx2봉 / 24년산 햇견과 견과류,"17,500","14,140"
107,108,(신선집중) 10%+10% / 구운캐슈넛 1kg 24년산,"17,900","12,080"
108,109,볶음땅콩 1kg + 1kg,"17,900","13,430"
109,110,볶은 알땅콩 1kg x2팩 / 볶음땅콩 볶은땅콩 견과 모음,"18,500","15,730"
110,111,국산 찰흑미 4kg (2kgX2봉) / 2024년 햅쌀 / 8kg 구매시 사은품 증정,"18,700","15,900"
111,112,국산 찰보리 5kg / 2024년 햇곡 / 10kg 구매시 사은품 증정,"19,300","16,410"
112,113,생캐슈넛 500g+500g 견과류,"19,500","14,630"
113,114,머거본 본사직영 견과류 대용량 영양 간식 볶음땅콩 300g 6봉,"19,900","16,920"
114,115,(신선집중) 견과류 당일볶음아몬드500gx2봉 24년산 햇견과,"19,900","14,930"
115,116,(1+1)국산 찹쌀 3KG 봉,"19,990","17,600"
116,117,지리산메뚜기쌀 /2024년햅쌀/백미10kg/상등급/판매자당일직도정/명가미곡/박스포장,"28,900","24,900"
117,118,밥맛좋은 임금님표 여주쌀 5kg 24년 수확한 햅쌀 백미,"34,900","29,500"
118,119,무주장터 반딧불쌀 신동진쌀(단일품종 등급 상) 10kg 24년 햅쌀 산지직송 당일도정,"33,500","24,480"
119,120,농협 아산맑은쌀 삼광 10kg (특등급/단일품종) 24년산 햅쌀(농협 GAP인증),"32,500","28,500"
120,121,그린올린 갓밥 경기미 5분도미 10kg / 오분도미 / 5kg x 2 봉 / 2024년산,"31,800","27,800"
121,122,수향미 10kg 골드퀸3호 24년 햅쌀,"39,800","35,800"
122,123,하루 한줌 견과 브런치라이트100낱봉,"48,900","39,120"
123,124,볶음아몬드 800g+800g / 견과류 24년산 출시,"29,900","22,910"
124,125,하루 한줌 견과 브런치오리지널100낱봉,"44,900","35,920"
125,126,하이칸 특허 발아현미 린테우스 상황버섯 쌀 1.5KG (500gx3팩) SCI 논문 입증,"63,000","53,580"
126,127,자연맘 구운아몬드 1kg + 깐 호두 1kg,"25,000","21,250"
127,128,국내산 햇땅콩 생땅콩 1kg 생알땅콩 경북상주 산지직송,"25,100","21,130"
128,129,국산 백미 쌀10kg (5kg+5kg) 2024년산 햅쌀 밥맛 좋은 상등급,"25,200","21,420"
129,130,브라질너트 24년 햇상품 1kg (500g+500g),"25,400","19,050"
130,131,2023년산 김제농협 벽골제쌀 신동진 10kg/상등급,"25,900","23,130"
131,132,국산 백미 쌀10kg (5kg+5kg) 2024년산 햅쌀 밥맛 좋은 상등급,"25,900","22,020"
132,133,국산 백미 쌀 10kg (5kgX2봉) / 2024년 햅쌀 / 상등급,"25,900","22,020"
133,134,쌀 20kg (10kgx2봉) 싸래기쌀/죽/떡/지대포장 집밥,"25,900","22,020"
134,135,100% 아몬드가루 아몬드파우더 아몬드분말 500g x 2 마카롱 베이킹 재료,"25,900","19,820"
135,136,생아몬드 1kg+1kg 미국산 캘리포니아 최신통관 신선한,"26,400","22,440"
136,137,봉황뜰 일반현미 10kg /무료배송 2024년산,"26,500","22,530"
137,138,이잡곡이다 고대곡물 정품 카무트 쌀 1kg X 3개 (용기),"26,900","21,040"
138,139,너트리 마카다미아 1kg 호주산,"26,900","21,960"
139,140,소담상회 국산 현미 8kg (4kg+4kg) / 2024년 햇 현미 쌀,"27,500","23,500"
140,141,햇 피칸 1kg(500g+500g) A급 브랜드 캘리포니아산 정품,"27,800","23,800"
141,142,영호진미 현미 10kg 진주농협 24년 햇곡,"27,900","23,900"
142,143,(행사상품)24년산_농협프리미엄 예천순수진미 10KG 포,"27,900","24,560"
143,144,농사꾼 양심쌀 신동진쌀 10kg 특등급 2023년산,"27,900","23,800"
144,145,더알찬곡물 국산 찰흑미 5kg 1봉 / 검정쌀 흑미쌀 잡곡 2세트 구매시 사은품 증정,"27,900","23,900"
145,146,하루견과넛츠요거트 (20gX50봉),"27,900","21,110"
146,147,신동진 쌀 10kg 단일품종 / 2024년 햅쌀 / 상등급,"28,400","24,400"
147,148,(신선집중) 푸드앤픽 삼광쌀 10kg 삼광미 특등급 24년 햅쌀,"28,500","24,500"
148,149,이쌀이다 24년산 어사명품 삼광쌀 10kg,"28,500","24,500"
149,150,24년햅쌀출시더조은쌀남원지리산메뚜기쌀 현미10kg 당일도정,"28,900","24,900"
150,151,[이푸른] 24년 햅쌀 해담은 쌀 상등급 10kg,"28,900","21,980"
151,152,혼합22곡5Kg 국산 혼합곡 잡곡 혼합잡곡 잡곡쌀 장수양행 보리 귀리 2024년산 햇곡구성,"28,900","24,900"
152,153,삼원농산 귀리 20kg (5kg/4개) 2023년 캐나다산,"28,900","24,900"
153,154,(20%) 서래푸드 볶음땅콩 3.75kg 더 알이 큰 사이즈 24년산,"28,900","22,010"
154,155,세븐믹스 프리미엄 아로니아 60봉 낱봉 매일 하루견과 한줌 견과류 혼합 믹스너트,"28,900","22,910"
155,156,24년 햇 볶음땅콩 3.75kg 알큰사이즈,"28,900","21,830"
156,157,아산 삼광쌀 특등급 10kg 24년산 햅쌀,"29,500","25,500"
157,158,아몬드 슬라이스 1kg x 2봉,"29,500","24,630"
158,159,구운 아몬드 1kg + 호두 1kg 견과 견과류,"29,900","25,900"
159,160,산과들에 다크초콜릿아몬드x50봉 / 견과류 초코볼,"29,900","24,410"
160,161,100% 국내산 여주특산물 생땅콩 24년 햇땅콩 1kg 지퍼팩,"29,900","25,900"
161,162,다크초콜릿아몬드x50봉 / 견과류 초코볼,"29,900","24,410"
162,163,A급 햇 캐슈너트 2kg(1kg+1kg) 생 캐슈넛 최신통관,"29,900","25,900"
163,164,영광군농협 신동진쌀 10kg 24년 햅쌀,"30,400","26,400"
164,165,햅쌀 강화섬쌀 10kg 상등급 강화도 백미 24년 햅쌀 삼광미,"30,500","26,500"
165,166,(신선집중) / 24년 햅쌀 프리미엄 경기미 10kg 상등급 당일도정,"30,500","26,500"
166,167,파란하루A(Activity)50봉 하루한줌 견과류 실속형포장,"30,900","23,810"
167,168,너트리 황태채 1kg 자연건조,"30,900","25,670"
168,169,고창 대성농협 생알 땅콩 1kg,"30,900","23,810"
169,170,100% 국내산 여주특산물 볶음땅콩 24년 햇땅콩 1kg 지퍼팩,"30,900","26,900"
170,171,하루 견과류 50봉 선물세트 보너츠 매일 한줌 견과 믹스 너트 프리미엄 믹스넛 건강 너츠 믹스 너츠 넛트,"31,000","14,900"
171,172,(신선집중) 까먹는 호주 통 마카다미아 바닐라 / 드라이 2+1,"31,500","24,300"
172,173,현미5kg+현미찹쌀5kg / 2024년 햅쌀,"31,600","27,600"
173,174,국산 늘보리 10kg (5kgx2봉) 겉보리 꽁보리 / 2024년 햇곡,"31,600","27,600"
174,175,경기미 찰진쌀 10kg / 2024년 햅쌀 / 상등급 / 단일품종,"31,700","27,700"
175,176,자연담은 유기농 혼합9곡 4kg,"31,800","20,230"
176,177,그린올린 갓밥 갓쌀 9분도미 10kg / 5kg x 2 봉 / 2024년산,"31,800","26,990"
177,178,김제 칠분도쌀 10kg 칠분도미 당일도정 24년 햅쌀,"31,900","27,900"
178,179,산과들에 하루견과류 원데이코코너츠화이트100봉,"31,900","27,900"
179,180,산과들에 하루견과류 모닝너츠오리지널 100봉,"31,900","27,900"
180,181,(신선집중) 10% / 24년 햅쌀 농협 세종대왕쌀 10kg 상등급 / 갓 수확한 쌀 당일도정 / 박스포장,"32,000","24,800"
181,182,삼원농산 흑백미(7분도) 10kg (5kg/2개) - 2024년산 햅쌀,"32,400","28,400"
