,rank,name,original_price,sale_price
116,117,테팔 뉴 이노바시오 인덕션 프라이팬냄비 4종세트_빅스데이 커피추첨,"218,000","74,120"
117,118,(10%+30%)렛츠클린 물걸레청소포 대형 30매5팩(총150매) 고급형 엠보싱 베이킹소다 항균,"36,000","6,500"
118,119,리얼지오지아(남성) 11컬러)중경량점퍼가디건ADD4JP1901ADD4JP1902ADD4,"49,000","34,930"
119,120,(최종가 28800원) 세타필 대용량 로션 473ml 3개 + 미니어쳐 키트 4종,"49,900","32,000"
120,121,뮬라웨어 레깅스 롱슬리브 8천원대~ 요가복 베스트,"70,800","15,970"
121,122,(스타벅스)(APP전용) e카드 10만원 교환권,N/A,"100,000"
122,123,통새우만두 200g x4,"31,500","16,700"
123,124,레노버 아이디어패드 Slim1-15ALC7 (R5-5500U / 8GB / 256GB / FreeDOS),"491,660","322,500"
124,125,((70%할인가)) 시크릿무드 가을신상 역마진SALE 셔츠/블라우스/니트/원피스/가디건/스커트/팬츠/셋업,"24,600","5,920"
125,126,동서맥심 모카골드 커피믹스 400T: 당일발송~,"56,450","45,810"
126,127,뮤패드 K11 LTE 램8G/용량128G,"219,000","186,150"
127,128,레노버 아이디어패드 Slim3 R5 15인치 노트북 마.감.임.박 200대 39만원대,"722,220","650,000"
128,129,신라면 5봉 + 너구리 5봉 + 짜파게티 5봉 + 오징어짬뽕 5봉 (총 20봉),"22,200","14,430"
129,130,육개장사발면12개 + 김치사발면12개 (총24개),"23,100","15,720"
130,131,(신선집중) 10%+10% / 소문난오부자 재래도시락김5g 54봉,"23,300","15,680"
131,132,(신선집중) 10%+10%/ 국내산 제철 사과 부사 3kg 중소과 (21과 내외),"15,440","11,120"
132,133,신라면 5입X8개 총40개,"40,900","28,640"
133,134,(신세계강남점)유아동 삼각팬티 5종세트 택1,"42,000","29,850"
134,135,씨투엠에듀 도형학습의 기준 플라토 유치~초등 단계별 선택구매(전4권),"48,000","26,120"
135,136,(클럽전용) 투썸플레이스 파베 초콜릿 케이크,"38,000","31,540"
136,137,(10+15%쿠폰/체험딜특가)(단독기획 진짜 감자 증정)BSD 포테토세트 한정수량/앰플1+1/기초SET 연중최대혜택,"88,000","19,800"
137,138,더 빅토리아 청귤+파인애플 탄산음료 500ml 20+20개,"26,900","15,900"
138,139,라보에이치 탈모증상완화 샴푸 두피강화 400ml 2개 + 샴푸 112m 2개 +CU3천원 모바일쿠폰,"42,900","29,710"
139,140,(10%+20%쿠폰)(2장세트) 이너리즘 1+1 양털 기모 체크 수면바지,"39,600","8,330"
140,141,(15+10%쿠폰+사은품)(5종) 아디다스 퍼포먼스 남성 에센셜 드로즈 5종세트 (95~110) 이월 특가,"133,000","29,930"
141,142,혜택가154만원대 삼성전자 비스포크 냉장고 1등급 4도어 RF90DG91114E 국내생산 푸드쇼케이스 900L 대용량,"2,054,560","1,619,000"
142,143,오리온 초코파이 48P 1872g(1박스),"18,600","13,020"
143,144,(90% 할인) 어린이 리퍼도서 26종 모음전 / 허팝 런닝맨 구름빵 공룡메카드 - 9천원 이상 구매시 무료배송,"10,000","3,000"
144,145,((무료반품+10%+10%쿠폰)) 시크루즈/FW신상/기모/롱원피스/세트/스웻세트/점프수트/가디건/맨투맨/빅사이즈,"62,300","14,960"
145,146,[신세계푸드(SHINSEGAE FOOD)] [피코크] 조선호텔 포기김치 2.5kg,"25,800","21,420"
146,147,동서맥심 화이트골드 커피믹스 400T: 당일발송~,"55,400","44,860"
147,148,(2024브랜드대상/쿠폰20%/대박사은품) 김정문알로에 기초/크림/마스크팩 BEST 스킨케어 특가 신규 모음전,"64,190","15,920"
148,149,(한샘몰pick) 뒹굴러 샘키즈 아기소파,"83,900","68,800"
149,150,(빅스마일 + 25% 쿠폰) 노스페이스 24FW 다운 자켓/맨투맨/팬츠 BEST50,"332,000","124,500"
150,151,LG그램 프로360 16TD90SP-KX76K Ultra7 16GB 256GB 최종184만 24년 노트북 고사양 업무용 대학생,"2,201,010","1,830,910"
151,152,육개장사발면 24개입,"24,900","18,680"
152,153,샘표 양조간장701 1.7L + 양조간장 501 500ml,"14,800","10,360"
153,154,광동 비타500 100ML 50병 (제로 30병+오리지널 20병),"25,900","19,950"
154,155,스파크 스마트클린 세탁세제 9.5Kg 1+1,"30,800","20,020"
155,156,아기물티슈 82평량 행주급 엠보싱 엑설런트82 캡형 70매 20팩 (82g) / 저자극 두꺼운 물티슈,"37,670","23,980"
156,157,(10%+중복15%)유솔주니어 FW 베스트상품 ~77% 기모템 8천원대부터,"53,000","12,000"
157,158,화이트라벨 디퓨저 200ml X 4개 + DIY꽃스틱 코코도르,"53,000","14,310"
158,159,20%쿠폰 지오다노 FW필수 이너 특가 맨투맨/긴팔티/데님 외,"73,300","17,600"
159,160,SK하이닉스 Platinum P41 NVMe SSD 2TB 빅스마일가 18만대/공식대리점/M2 고정나사 증정,"287,360","199,630"
160,161,귀찮아 습기제거제 520ml 24개입/제습제/장마철필수품,"21,900","14,240"
161,162,(신선집중) 한상궁 총각김치 2kg /총각무/알타리김치,"17,600","12,640"
